Category,Count,Mean,Median,Std Dev,Min,Max
lighting,1300,0.8769384615384616,0.95,0.15260684510833963,0.0,0.99
flame_visible,1300,0.8586153846153847,0.9,0.16758004003167856,0.0,0.99
viewpoint,1300,0.8537692307692308,0.9,0.07823855060022321,0.4,0.9
environment_type,1300,0.8171538461538461,0.9,0.1557283644789431,0.2,0.95
plume_stage,1300,0.7884615384615384,0.8,0.12883657489522798,0.5,0.95
confounder_type,1300,0.7258076923076923,0.8,0.13337177637604022,0.4,0.9
