Relevance Label,Count,Mean,Median,Std Dev,Min,Max
Not Relevant,1070,3.3966449728635983,3.440408706665039,1.0870786022606616,-0.505900502204895,6.187449932098389
Relevant,230,4.759572607537974,4.903857707977295,0.7874798290722532,1.3280497789382935,6.062764644622803
